,ent1,ent2,relation
4107,Ventricular  ectopy,,seen
4108,degeneration  triangle,, 
4109,Signal,late  potentials,averaged
4110,Echocardiography Echocardiography,right  ventricle,reveal
4111,dilatation,RV  dilatation,cause
4112,septal  motion,,present
4113,MRI Fatty MRI infiltration,,visible
4114,Fat,intensity,increased
4115,epicardial  that,intramyocardial  fat,difficult
4116,sulcus  which,,difficult
4117,Cardiac  MRI,extreme  thinning,visualize
4118,thick  test,, 
4119,ventricular Angiography angiography,,considered
4120,akinetic  bulging,,localized
4121,however  test,,dependent
4122,ACM  it,low  sensitivity,specific
4123,False  positives,other  conditions,include other
4124,endocardium biopsy sample,,common
4125,septum  which,,taken
4126,that,% fibrous 40 % tissue,have
4127,histological post demonstration,,consistent
4128,Genetic testing ACM,,trait
4129,desmosome ACM which,diagnosis,have
4130,trait  children,disease-causing 50 % mutation,have
4131,disease  who,,used
4132,ACM genetic ACM testing,,available
4133,Diagnostic  criteria,,is
4134,diagnosis,,based
4135,make,major  criteria,requires
4136,little RV ejection impairment,global RV dilatation,confirmed
4137,Late Tissue characterization potentials,signal  EKG,averaged
4138,Ventricular  tachycardia,ACM block LBBB incidence,decrease
4139,asymptomatic  who,asymptomatic  patient,raises
4140,certain  subgroup,,considered
4141,Associated  characteristics,history Extensive RV disease,include
4142,,pharmacological catheter ablation,Left ventricular
4143,electrical treatment stimulation,,performed
4144,VT Determine VT VT,hemodynamic  consequences,include
4145,management option management individual,typically lifestyle modification,advised
4146,,,participate
4147,patients,exercise  programmes,advised
4148,Medications Pharmacologic Medications management,ACM arrhythmia suppression,involves
4149,Sotalol,,agent
4150,antiarrhythmic  agents,conventional amiodarone blockers,include
4151,efficacy,monitoring series reduction,guided
4152,cardiomyopathies ACE they,,proven
4153,Individuals,warfarin thrombus formation,benefit
4154,Catheter ablation Catheter ablation,ventricular  tachycardia,used
4155,It,60–90 % success rate,has
4156,disease  recurrence,,common
4157,Indications,frequent ICD discharges,include drug-refractory
4158,Implantable cardioverter-defibrillator ICD,,prevention
4159,ICDs  they,,placed
4160,stimulation  Failed,therapy Severe RV involvement,include
4161,wall RV it,pericardial  tamponade,possible
4162,this  attempt,lead,made
4163,progressive  nature,,lead
4164,This,potentially  ventricle,lead
4165,transplant Heart transplant,,performed
4166,bi-ventricular heart that,,indicated
4167,Family screening,first degree family members,screened
4168,This,pattern,used
4169,Screening,,begin
4170,Echocardiogram EKG Signal,MRI Exercise Prognosis,include
4171,disease  individuals,teens  characteristics,have
4172,Many  individuals,symptoms,have
4173,Others,symptoms,have
4174,ACM,,disease
4175,right  ventricle,,becomes
4176,right  ventricle,ventricular  dysfunction,fail
4177,time  individual,signs,be histological
4178,left  ventricle,,become
4179,Signs,,become evident
4180,it,prevalence,"1/10,000"
4181,mutations  that,,found
4182,most  patients,eventually  signs,thought
4183,It,,accounts
4184,it,,"40/10,000"
4185,Columbus Crew,Kirk Urso,collapsed
4186,autopsy,later  disease,revealed
4187,left wing-back Antonio Puerta,cardiac La Liga game,died
4188,Englishman Matt Gadsby,,died
4189,Suzanne Crough,,died
4190,English international Taylor English cricketer,,retired
4191,Krissy Taylor,,died
4192,which  she,,arrhythmia
4193,likely  cause,independent tissue samples,had independent
4194,,,Boyd
4195,He,,diagnosed
4196,when  it,External GeneReviews/NCBI/NIH/UW entry,See
4197,that,,called
4198,types,arrhythmias  symptoms,have
4199,Symptoms,present  pause,include
4200,,,lightheadedness
4201,arrhythmia  some,person,predispose
4202,Others,,result
4203,Arrhythmias,,categorized
4204,Extra  beats,atrial  contractions,include premature
4205,Supraventricular  tachycardias,atrial  fibrillation,include atrial
4206,Ventricular  arrhythmias,ventricular  fibrillation,include ventricular
4207,Bradyarrhythmias,,due
4208,Arrhythmias,,due
4209,number,,help
4210,Many  arrhythmias,,treated
4211,Treatments,medical  pacemaker,include
4212,procainamide beta which,normal heart rhythm,include
4213,latter  group,side  effects,have
4214,Pacemakers,,used
4215,Those,blood thinners blood risk,treated
4216,who,urgent  treatment,receive urgent
4217,Arrhythmia,millions,affects
4218,atrial North fibrillation,2  %,affects
4219,Atrial  fibrillation,,resulted
4220,cardiac  death,,cause
4221,80  %,,result
4222,Arrhythmias,,occur
4223,normal  range,,occur
4224,seconds  it,atrial Sinus bradycardia contractions,classified
4225,vast  majority,Re-entry ventricular arrhythmia Heart,blocks
4226,PR,Second degree heart block,causes
4227,First  blocks,,occur
4228,This,,referred
4229,arrhythmic death syndrome,sudden death death,term
4230,"250,000 heart people",,disease
4231,SADS,,occur
4232,young  which,sudden  death,are many
4233,Causes,viral  myocarditis,include viral
4234,Fetal arrhythmia Arrhythmias,,occur
4235,normal heart rate,,110
4236,rhythm,,abnormal
4237,These,little  consequence,result
4238,one  percent,,result
4239,Signs,large term number,covers
4240,common  symptom,,awareness
4241,These,,infrequent
4242,patients  some,,harmless
4243,arrhythmias,symptoms,cause
4244,asymptomatic  arrhythmias,,associated
4245,Examples,higher  risk,include
4246,increased  risks,,embolization
4247,too  this,blood pressure blood lightheadedness,manifests
4248,Medical  assessment,one  risk,way
4249,Mechanism Cardiac arrhythmia,,caused
4250,first,,result
4251,second,,due
4252,Diagnostic Cardiac arrhythmia,,detected
4253,heart rate heart it,general  indication,diagnose specific
4254,arrhythmias  premature,effective pumping beats,produce audible
4255,diagnostic  test,,electrocardiogram
4256,period  that,briefly,EKG
4257,advanced  study,activity  source,performed
4258,arrhythmia,catheter,accomplished
4259,where  distance,instead  electrode,uses
4260,atrial  stimulation,,differentiate
4261,It,supraventricular Parkinson – tachycardia,evaluate
4262,electrical diagnosis activity,heart sinus node,called
4263,atrioventricular AV which,atrioventricular  node,causes
4264,impulse,thus heart pulse,spreads
4265,,,ranges
4266,resting heart rate,,faster
4267,resting heart rate,,slow
4268,heart rate heart that,mild  acceleration,refers
4269,It,,pronounced
4270,breathing exercises meditation breathing that,breath  patterns,present
4271,slow Bradycardias rhythm,,labelled
4272,This,,caused
4273,Heart block,,comes
4274,drugs AV that,conduction,caused
4275,Bradycardias,,present
4276,Bradycardia,,occur
4277,Tachycardias,,tachycardia
4278,however  tachycardia,,result
4279,Increased heart rate,,response
4280,This,,mediated
4281,that,ingested system substances,include
4282,that,,results
4283,Abnormal  impulses,,begin
4284,re-entry  which,,termed
4285,years  bases,,discussed
4286,heart pathway that,structural pathway problems,defects Congenital
4287,overall  health,role,affected
4288,Problems,even  arrhythmias,cause
4289,heart  that,,pathway
4290,electrical  which,heartbeat,allows
4291,outflow tract tachycardia,,type
4292,defect,,due
4293,heart,,go
4294,Long QT syndrome,,problem
4295,,less medication stress,are multiple
4296,Automaticity Automaticity,,refers
4297,only action some,routinely  heartbeats,have
4298,cells,heart SA node,found
4299,atrium  that,usually heart heartbeat,location
4300,heart  that,impulse,called
4301,node  it,abnormal  rhythm,cause
4302,pumping efficiency pumping signal,various  parts,dysrhythmias
4303,that,nervous system stimulation,include sympathetic
4304,many  types,,depends
4305,electrical  impulse,,occur
4306,cardiac  cell,impulses,transmit
4307,enough  cell,,spread
4308,myocardial heart cells,fast sodium channel,slow
4309,timing  this,abnormal circuit rhythm,produce
4310,re-entry  vortices,myocardium  vortices,considered
4311,particular autowave reverberator,,common
4312,Re-entry,,responsible
4313,WPW syndromes WPW which,abnormal conduction pathways,different
4314,arrhythmias fish they,re-entrant  arrhythmias,facilitate re-entrant
4315,impulses  it,,Fibrillation
4316,ventricular  fibrillation,atrium,affect
4317,Atrial  fibrillation,upper  chambers,affects
4318,Atrial  fibrillation,,conditions
4319,It,,emergency
4320,heart  it,,occurs
4321,ventricular  fibrillation,,lead
4322,When  heart,effective  pumping,goes
4323,V-fib,,considered
4324,cardiopulmonary  resuscitation,,survive
4325,only  that,healthy heart rhythm,prolong
4326,heart  which,normal  itself,performed
4327,when  problems,Triggered  beats,occur
4328,They,,rare
4329,affected rhythm person,Management  method,depends
4330,Treatments,physical  maneuvers,include physical
4331,arrhythmia conduction complications,,admitted
4332,Physical  maneuvers,nervous  supply,increase parasympathetic
4333,several  that,supraventricular AV tachycardias,slow
4334,vagus  maneuvers,,nerve
4335,Antiarrhythmic  drugs,,are many
4336,antiarrhythmic drug drug,potential, 
4337,other  drugs,,useful
4338,,actually  arrhythmia,groups
4339,fast rate it,,used
4340,Some,heart blood risk,arrhythmias
4341,Anticoagulant  medications,aspirin  risk,reduce
4342,Electricity Arrhythmias,electrically  shock,treated
4343,Cardioversion,,achieved
4344,It,,used
4345,cardioversion  recipient,,sedated
4346,shock,,differs
4347,It,,needed
4348,more  electricity,,required
4349,defibrillation  recipient,consciousness,lost
4350,Defibrillation,,accomplished
4351,Electrical  treatment,cardiac  pacing,includes cardiac
4352,Temporary  pacing,,necessary
4353,where  bradycardia,,placed
4354,Electrical  Some,,cautery
4355,laboratories  they,electrical blood activity,use fine
4356,This,abnormal  areas,allows abnormal
4357,others success rate,,curative
4358,nodal reentrant AV nodal tachycardia,often  one,curable
4359,pulmonary vein results,pulmonary vein isolation,treated
4360,Research Arrhythmias,,reported
4361,,,discovered
4362,QTc prolongation,,1980s
4363,Curlie links Arteriolosclerosis,disease  hardening,form
4364,luminal vessel wall that,ischemic  injury,include
4365,two  terms,,distinct
4366,Greek arteria Greek Atherosclerosis,Greek arteria Greek hardening,hardening
4367,substances  that,atherosclerosis,used
4368,deposits  that,,refers
4369,arteriolosclerosis  which,,type
4370,afferent diabetes arteriole,284 kidney,associated
4371,CauseLesions,leakage,reflect
4372,arteriolar  narrowing,diffuse  impairment,characteristic
4373,narrowing,blood pressure kidney function,decrease renal
4374,This,narrowed  lumen,type
4375,onion-skin,sometimes  form,used
4376,hyperplastic  changes,,accompanied
4377,changes,,prominent
4378,CauseIt,,caused
4379,microcirculation blood that,small-diameter blood vessel,= External
4380,Arterioles,muscular  walls,have muscular
4381,greatest  change,,occurs
4382,,blood-contacting endothelium surfaces,Microanatomy
4383,endothelium  which,biochemical  reaction,promoted
4384,,,is direct
4385,pressure Blood pressure,cardiac  output,result
4386,increase,,observed
4387,up  fluctuation,,nature
4388,decreased  velocity,capillaries blood pressure,increases
4389,This,gas,induces
4390,when  blood,venules,occurs
4391,Arterioles,order system diameter,receive autonomic
4392,Retinal  vessels,sympathetic  innervation,lack
4393,local  responses,arteriolar carbon tone,influence arteriolar
4394,Generally  norepinephrine,,vasoconstrictive
4395,when circulation they,,vasodilate
4396,,high oxygen tone,increase
4397,noteworthy  they,,exception
4398,Brain arterioles,,sensitive
4399,number,arteriole  tone,influence arteriole
4400,Clinical significance Arteriole diameters,,decrease
4401,which,peripheral blood resistance,increase total
4402,Arteriosclerosis Arteriolosclerosis,,term
4403,This,,production
4404,example blood which,arterioles calcium relaxation,targeted
4405,This,systemic  pressure,decreases
4406,which,capillary  circulation,is
4407,Arsenic,also Surface chemistry,See
4408,Arsenic,,occurs
4409,Arsenic,,metalloid
4410,which,metallic  appearance,has various
4411,primary  use,,alloys
4412,Arsenic,,dopant
4413,It,,component
4414,Arsenic,,used
4415,applications,,declining
4416,few  species,arsenic  compounds,able
4417,Trace quantities,,element
4418,role,,known
4419,life  quantities,,occurs
4420,groundwater  that,millions,problem
4421,forms,,states
4422,United Agency,Toxic Substances Disease arsenic,ranked arsenic
4423,Arsenic,,classified
4424,arsenic Characteristics Physical allotropes,,gray
4425,Gray arsenic space group R3,double-layered  structure,m
4426,gray  arsenic,Mohs  hardness,brittle
4427,Nearest neighbors,octahedral  complex,form
4428,close  packing,,leads
4429,Gray arsenic,,semimetal
4430,Gray arsenic,,form
4431,Yellow arsenic,,soft
4432,which  atom,four  atoms,have
4433,unstable  allotrope,,molecular
4434,yellow  arsenic,,produced
4435,It,,transformed
4436,yellow  form,density,has
4437,Black  arsenic,,similar
4438,Black  arsenic,also  vapor,formed
4439,It,,glassy
4440,It,,conductor
4441,35.81  it,melting point,have
4442,Isotopes Arsenic,,occurs
4443,33  radioisotopes,,synthesized
4444,most  stable,,73As
4445,other  isotopes,half-lives,have
4446,decay  that,,tend
4447,nuclear  isomers,,described
4448,most  stable,,68mAs
4449,Chemistry Arsenic,covalent congener molecules,has
4450,humidity golden-bronze which,black surface layer,forms
4451,trioxide  fumes,reaction  odor,have
4452,odor,,detected
4453,arsenic  which,arsenic phosphorus pentafluoride,burns
4454,Arsenic,,sublimes
4455,triple  point,,MPa
4456,however sulfuric it,arsenic  acid,makes arsenic
